北京频道,#genre#
北京卫视4K,https://hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s104/index.m3u8?time=1771692001&sign=3a3f9f9399bbe262470dd3457980231e
北京卫视,https://hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s1/index.m3u8?time=1771692002&sign=152b6b558ba0f7de1494c6b35316555b
北京新闻,https://hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s9/index.m3u8?time=1771692002&sign=136da806fdfe2e98743cfbcba9ed8036
北京影视,https://hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s4/index.m3u8?time=1771692003&sign=a2bee74b777fef725efd93b80add60f4
北京生活,https://hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s7/index.m3u8?time=1771692004&sign=5571de39ebc614437d5b1d749221fee2
北京文艺,https://hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s2/index.m3u8?time=1771692004&sign=15c468b3a0f07b751452fbd251770178
北京财经,https://hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s5/index.m3u8?time=1771692005&sign=755025ca8ce96d8ac0072df95f0f81ea
北京体育休闲,https://hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s6/index.m3u8?time=1771692005&sign=c4722fa261153eaca22aca1f965882d3
纪实科教,https://hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s3/index.m3u8?time=1771692006&sign=0c858cf78eaf16826fd2d6e5c7a06b38
卡酷少儿,https://hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s10/index.m3u8?time=1771692007&sign=4beb585f0e0ca323a56e3d0b390f7b0a
